"Density","Topoplogy","Method","Sample_Size","Sensitivity","Specificity","F1.Score","MCC","F_Loss","Q_Loss"
"sparse","watts","2","10","0.13","0.89","0.21","0.04","643.45","118262.27"
"sparse","watts","2","25","0.13","0.93","0.22","0.1","588.46","6568.97"
"sparse","watts","2","50","0.13","0.99","0.23","0.23","575.72","9763.5"
"sparse","watts","2","75","0.15","1","0.26","0.29","563.28","13478.44"
"sparse","watts","5","10","0.14","0.89","0.22","0.05","605.28","4851.48"
"sparse","watts","5","25","0.14","0.91","0.23","0.09","609.57","1165.04"
"sparse","watts","5","50","0.14","0.95","0.24","0.16","610","770.78"
"sparse","watts","5","75","0.16","0.98","0.28","0.25","606.86","931.64"
"sparse","barabasi","2","10","0.1","0.94","0.17","0.07","504.46","60564.79"
"sparse","barabasi","2","25","0.11","0.94","0.19","0.1","490.84","48226.34"
"sparse","barabasi","2","50","0.1","0.98","0.17","0.16","480.36","72449.22"
"sparse","barabasi","2","75","0.11","1","0.19","0.23","471.59","103051.33"
"sparse","barabasi","5","10","0.1","0.93","0.18","0.07","509.64","13857.35"
"sparse","barabasi","5","25","0.13","0.94","0.21","0.11","514.26","5198.55"
"sparse","barabasi","5","50","0.13","0.95","0.21","0.14","513.99","4597.86"
"sparse","barabasi","5","75","0.12","0.97","0.21","0.19","509.83","8084.51"
"sparse","random","2","10","0.15","0.89","0.23","0.06","360.41","7717.56"
"sparse","random","2","25","0.13","0.93","0.21","0.09","349.86","3116.66"
"sparse","random","2","50","0.12","0.98","0.21","0.19","338.52","5076.29"
"sparse","random","2","75","0.11","1","0.2","0.24","326.95","8375.77"
"sparse","random","5","10","0.16","0.88","0.25","0.06","361.23","2919.61"
"sparse","random","5","25","0.15","0.91","0.24","0.1","364.87","1026.94"
"sparse","random","5","50","0.14","0.96","0.24","0.18","361.71","902.98"
"sparse","random","5","75","0.14","0.98","0.24","0.23","359.28","946.88"
"dense","watts","2","10","0.14","0.89","0.22","0.04","599.97","45295.1"
"dense","watts","2","25","0.13","0.92","0.22","0.09","587.86","6725.19"
"dense","watts","2","50","0.13","0.99","0.23","0.23","576.26","9584.16"
"dense","watts","2","75","0.15","1","0.26","0.29","563.93","12969.13"
"dense","watts","5","10","0.13","0.89","0.21","0.03","605.87","4749.99"
"dense","watts","5","25","0.14","0.92","0.22","0.09","609.9","1266.75"
"dense","watts","5","50","0.16","0.95","0.26","0.17","609.65","726.97"
"dense","watts","5","75","0.15","0.99","0.26","0.25","606.8","1082.5"
"dense","barabasi","2","10","0.12","0.92","0.19","0.06","526.62","183787.84"
"dense","barabasi","2","25","0.11","0.94","0.19","0.08","491.52","33214.85"
"dense","barabasi","2","50","0.1","0.97","0.18","0.15","479.74","77551.81"
"dense","barabasi","2","75","0.1","1","0.18","0.23","472.54","107000.76"
"dense","barabasi","5","10","0.11","0.94","0.19","0.09","509.93","11259.03"
"dense","barabasi","5","25","0.12","0.94","0.2","0.11","513.98","5305.16"
"dense","barabasi","5","50","0.13","0.95","0.22","0.15","513.45","4873.44"
"dense","barabasi","5","75","0.12","0.98","0.21","0.19","510.38","6949.69"
"dense","random","2","10","0.13","0.91","0.21","0.06","364.02","15144.3"
"dense","random","2","25","0.13","0.93","0.22","0.1","349.83","3110.97"
"dense","random","2","50","0.12","0.98","0.22","0.19","338.7","4397.79"
"dense","random","2","75","0.11","1","0.2","0.24","326.77","8643.42"
"dense","random","5","10","0.15","0.89","0.23","0.06","361.86","3115.06"
"dense","random","5","25","0.15","0.91","0.23","0.09","364.67","1084.46"
"dense","random","5","50","0.14","0.96","0.23","0.17","362.12","852.75"
"dense","random","5","75","0.14","0.98","0.25","0.24","358.34","981.31"
