"Density","Topoplogy","Method","Sample_Size","Sensitivity","Specificity","F1.Score","MCC","F_Loss","Q_Loss"
"sparse","watts","1","50","0.15","0.95","0.24","0.17","596.13","2370.89"
"sparse","watts","1","100","0.17","1","0.3","0.3","593.27","2503.03"
"sparse","watts","1","200","0.19","1","0.32","0.33","586.44","3315.42"
"sparse","watts","2","50","0.13","0.98","0.23","0.22","575.8","9758.28"
"sparse","watts","2","100","0.35","0.99","0.5","0.45","2051.21","1711926.34"
"sparse","watts","2","200","0.4","1","0.56","0.5","271.12","350215.26"
"sparse","watts","3","50","0.04","0.96","0.07","0.01","716.43","3134332.47"
"sparse","watts","3","100","0.08","0.95","0.14","0.06","602.86","12547.62"
"sparse","watts","3","200","0.18","1","0.31","0.32","580.71","4721"
"sparse","watts","4","50","0.01","1","0.01","0.05","617.53","561.49"
"sparse","watts","4","100","0.01","1","0.01","0.05","617.76","496.92"
"sparse","watts","4","200","0.01","1","0.01","0.05","617.92","482.16"
"sparse","watts","5","50","0.15","0.95","0.25","0.16","609.96","731.82"
"sparse","watts","5","100","0.17","1","0.29","0.3","602.85","1396.28"
"sparse","watts","5","200","0.22","1","0.35","0.35","581.82","3199.12"
"sparse","barabasi","1","50","0.12","0.95","0.21","0.14","497.52","18519.61"
"sparse","barabasi","1","100","0.14","0.98","0.24","0.23","495.38","18936.78"
"sparse","barabasi","1","200","0.19","1","0.31","0.32","487.98","22221.83"
"sparse","barabasi","2","50","0.09","0.98","0.17","0.15","480.03","73315.95"
"sparse","barabasi","2","100","0.31","1","0.46","0.42","1506.51","2984217.2"
"sparse","barabasi","2","200","0.39","1","0.56","0.5","227.97","547770.15"
"sparse","barabasi","3","50","0.05","0.97","0.08","0.03","743.09","113434991.51"
"sparse","barabasi","3","100","0.06","0.96","0.11","0.05","502.97","44606.26"
"sparse","barabasi","3","200","0.15","1","0.25","0.28","489.71","27605.4"
"sparse","barabasi","4","50","0","1","0.01","0.04","522.47","1536.25"
"sparse","barabasi","4","100","0","1","0.01","0.04","522.62","1440.05"
"sparse","barabasi","4","200","0","1","0.01","0.04","522.84","1317.05"
"sparse","barabasi","5","50","0.12","0.95","0.21","0.14","513.5","5379.95"
"sparse","barabasi","5","100","0.13","0.99","0.22","0.23","505.94","10533.24"
"sparse","barabasi","5","200","0.2","1","0.33","0.33","490.07","19180.96"
"sparse","random","1","50","0.15","0.94","0.25","0.15","356.8","1108.58"
"sparse","random","1","100","0.15","0.99","0.26","0.25","352.87","1177.25"
"sparse","random","1","200","0.16","1","0.28","0.3","346.36","1473.75"
"sparse","random","2","50","0.12","0.98","0.21","0.19","338.87","4764.04"
"sparse","random","2","100","0.26","1","0.4","0.38","1598.33","328465.97"
"sparse","random","2","200","0.31","1","0.47","0.43","160.26","47118.15"
"sparse","random","3","50","0.03","0.97","0.06","0.01","523.79","703285.72"
"sparse","random","3","100","0.05","0.97","0.09","0.05","364.14","16075.36"
"sparse","random","3","200","0.13","1","0.23","0.26","342.78","2854.91"
"sparse","random","4","50","0.01","1","0.01","0.06","376.37","401.73"
"sparse","random","4","100","0.01","1","0.01","0.06","376.67","365.85"
"sparse","random","4","200","0.01","1","0.01","0.06","376.81","343.14"
"sparse","random","5","50","0.14","0.95","0.24","0.16","362.08","882.18"
"sparse","random","5","100","0.14","1","0.25","0.27","355.74","1175.39"
"sparse","random","5","200","0.16","1","0.27","0.29","343.84","1657.32"
"dense","watts","1","50","0.15","0.95","0.24","0.17","596.27","2439.77"
"dense","watts","1","100","0.18","1","0.3","0.3","592.99","2566.72"
"dense","watts","1","200","0.19","1","0.32","0.33","586.8","3343.92"
"dense","watts","2","50","0.13","0.98","0.23","0.22","575.56","9830.51"
"dense","watts","2","100","0.36","1","0.51","0.46","2082.14","1820754.25"
"dense","watts","2","200","0.39","1","0.56","0.5","280.8","382082.38"
"dense","watts","3","50","0.04","0.97","0.07","0.01","706.15","3084463.4"
"dense","watts","3","100","0.07","0.96","0.13","0.07","602.81","12726.22"
"dense","watts","3","200","0.18","1","0.31","0.32","581.05","4591.24"
"dense","watts","4","50","0.01","1","0.01","0.05","617.56","554.21"
"dense","watts","4","100","0.01","1","0.01","0.05","617.8","494.98"
"dense","watts","4","200","0.01","1","0.01","0.05","617.91","480.21"
"dense","watts","5","50","0.16","0.94","0.25","0.16","610.01","703.18"
"dense","watts","5","100","0.17","1","0.29","0.31","602.67","1347.6"
"dense","watts","5","200","0.21","1","0.35","0.35","582.14","3174.15"
"dense","barabasi","1","50","0.12","0.95","0.21","0.14","497.23","18132.84"
"dense","barabasi","1","100","0.13","0.99","0.22","0.22","495.58","20071.65"
"dense","barabasi","1","200","0.18","1","0.31","0.32","488.37","22726.56"
"dense","barabasi","2","50","0.09","0.98","0.16","0.15","480.74","74167.98"
"dense","barabasi","2","100","0.32","1","0.48","0.44","2162.15","3811611.08"
"dense","barabasi","2","200","0.39","1","0.56","0.5","222.94","456948.85"
"dense","barabasi","3","50","0.04","0.97","0.07","0.02","583.67","21519975.06"
"dense","barabasi","3","100","0.06","0.96","0.11","0.05","503.37","44890.98"
"dense","barabasi","3","200","0.15","1","0.25","0.28","489.49","29400.93"
"dense","barabasi","4","50","0","1","0.01","0.04","522.42","1494.38"
"dense","barabasi","4","100","0","1","0.01","0.04","522.7","1370.09"
"dense","barabasi","4","200","0","1","0.01","0.04","522.76","1326.18"
"dense","barabasi","5","50","0.12","0.96","0.21","0.15","513.7","5303.58"
"dense","barabasi","5","100","0.13","0.99","0.22","0.23","506.93","9512.47"
"dense","barabasi","5","200","0.2","1","0.34","0.34","489.02","18890.22"
"dense","random","1","50","0.15","0.95","0.24","0.16","356.75","1213.84"
"dense","random","1","100","0.15","0.98","0.26","0.25","353.07","1183.98"
"dense","random","1","200","0.15","1","0.26","0.29","347.3","1547.76"
"dense","random","2","50","0.12","0.98","0.21","0.19","339.04","4495.68"
"dense","random","2","100","0.27","1","0.41","0.39","1482.66","325995.12"
"dense","random","2","200","0.31","1","0.47","0.43","160","55147.2"
"dense","random","3","50","0.04","0.97","0.06","0.02","599","1922772.78"
"dense","random","3","100","0.06","0.97","0.11","0.07","363.34","12772.8"
"dense","random","3","200","0.13","1","0.23","0.27","342.47","2985.63"
"dense","random","4","50","0.01","1","0.01","0.06","376.6","399.77"
"dense","random","4","100","0.01","1","0.01","0.06","376.56","379.01"
"dense","random","4","200","0.01","1","0.01","0.05","376.76","353.59"
"dense","random","5","50","0.14","0.96","0.23","0.17","362.22","889.01"
"dense","random","5","100","0.14","1","0.25","0.27","355.62","1151.42"
"dense","random","5","200","0.15","1","0.27","0.29","343.81","1684.88"
