"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
1,0.0523890641472534,0.300446675763212,0,0,0,0.651631041672986,0,0,0,0,0.635147359796902,0.623094022236009,0.703291366543221,0.530294293463068,0.72895577261798,0.729441635741784,0.715418857424781,0.74200527941602,0.582326482974676,0,0.694021553663334,0.801632515205374,0,0,0,0,0.640991196947331,0,0.466068840930829,0.688364027029274,0.721101949234879,0,0.684717716939012,0,0,0.223468158121853,0,0,0,0,0,0,0,0,0.257574903771562,0.600542980401056,0.761396708784169,0.737024680764967,0.34369382157306
0.0523890641472582,1,0.0167748902975155,0,0,0,0.0487488652683805,0,0,0,0,0.0687999770082229,0.0608381504223356,0.0758736867152599,0.07660449861374,0.0699366489184608,0.0753472386794799,0.0751505009432274,0.0754685915524072,0.0565663271727338,0,0.0666564718438605,0.0761901776926769,0,0,0,0,0.0549184894032411,0,0.0439369471294009,0.0652092311045033,0.0739225636448488,0,0.057677559356026,0,0,0.0412909362163502,0,0,0,0,0,0,0,0,0.0292180095963327,0.0711075622131188,0.0744136368511079,0.0775845566196778,0.0275983759006501
0.300446675763227,0.0167748902975126,1,0,0,0,0.402680990615449,0,0,0,0,0.569937738703664,0.501675328133138,0.601465932279189,0.53339415664011,0.57314790875009,0.584789036800243,0.582068111331134,0.50664402780571,0.451418381962581,0,0.57602860181228,0.513953404314793,0,0,0,0,0.495144077882337,0,0.187863441975206,0.546840157799082,0.565430788484874,0,0.322383923968129,0,0,0.381288625627888,0,0,0,0,0,0,0,0,0.372558057264271,0.607360454135869,0.523817669001829,0.579145925940201,0.182709476161997
0,0,0,1,0.935200951534112,0.253277224586254,0,0.907136489805601,0.771087485996475,0.930793740309105,0.8279906298742,0,0,0,0,0,0,0,0,0,0.866835425235574,0,0,0.506838332044469,0.911976072270527,0.472521779470671,0.753995423960954,0,0.866561968183135,0,0,0,0.78141055237652,0,0.876535473833652,0.866652327711462,0,0.775000948296555,0.874102544193031,0.936424119702411,0.824808427547962,0.89740380503221,0.274187273160999,0.450186757178011,0.30664942368522,0,0,0,0,0
0,0,0,0.935200951534113,1,0.210327687823122,0,0.942339605075559,0.790794057266108,0.9646283513971,0.909815270157329,0,0,0,0,0,0,0,0,0,0.932113286504744,0,0,0.599427519654266,0.960778758401672,0.564372996626449,0.777354377309859,0,0.892576449659974,0,0,0,0.854093204245883,0,0.92914711856762,0.932261939599822,0,0.851754321360876,0.940559720055107,0.97141329792353,0.908559588909293,0.941770981678215,0.356281644761202,0.554749605989636,0.384015600698205,0,0,0,0,0
0,0,0,0.253277224586228,0.210327687823094,1,0,0.202938945965717,0.16539654847263,0.213752575244949,0.118891012085937,0,0,0,0,0,0,0,0,0,0.177512988520874,0,0,0.0800563750694938,0.219319468233543,0.0538628584815966,0.179429411826642,0,0.219675488145403,0.0643948966440929,0,0,0.129183873036137,0,0.186258319198544,0.15344270516483,0,0.137833640511655,0.175413499204578,0.220372411873578,0.140218751417044,0.199428717944634,0.0470697028279747,0.0666709213205547,0,0,0,0,0,0
0.651631041672992,0.048748865268376,0.40268099061544,0,0,0,1,0,0,0,0,0.693276387093248,0.644660466083335,0.734080297825693,0.604989962774696,0.763728229784506,0.760912494227987,0.757423471655793,0.750329374251588,0.563164012010601,0,0.743822126655594,0.781140434452752,0,0,0,0,0.67122212849771,0,0.394678023811888,0.707515587089984,0.749479073716658,0,0.621419261449205,0,0,0.293432850177085,0,0,0,0,0,0,0,0,0.343181590657671,0.670405770175599,0.771452968773972,0.756970437736676,0.334659493000541
0,0,0,0.907136489805599,0.942339605075559,0.202938945965745,0,1,0.76889589350932,0.942122386775694,0.904569317350372,0,0,0,0,0,0,0,0,0,0.918657991632362,0,0,0.59415436914164,0.945188548455503,0.568043771451568,0.761389210253538,0,0.874472695524965,0,0,0,0.843325494269917,0,0.907380045454601,0.92004630417934,0,0.848392958647692,0.925545479770579,0.947320069591255,0.899778216163684,0.9282241314229,0.37182124470426,0.548828421880141,0.427147421907639,0,0,0,0,0
0,0,0,0.771087485996494,0.790794057266127,0.165396548472643,0,0.768895893509341,1,0.787223124228693,0.729094748454675,0,0,0,0,0,0,0,0,0,0.748439534293888,0,0,0.484538412191897,0.785172902646625,0.453657255812326,0.695462622994578,0,0.73103739158073,0,0,0,0.696455635867966,0,0.751785116486308,0.755679118559591,0,0.705434080412739,0.776274209178289,0.794288965494755,0.747959334069983,0.771327873454401,0.342045905124159,0.490529855960348,0.296970631411072,0,0,0,0,0
0,0,0,0.930793740309101,0.964628351397094,0.213752575244958,0,0.94212238677569,0.787223124228666,1,0.922299835684956,0,0,0,0,0,0,0,0,0,0.938089164655807,0,0,0.60541835855513,0.963335460257426,0.586665556849002,0.778134053610196,0,0.89171566962971,0,0,0,0.856976371965525,0,0.923823219207268,0.941253293344774,0,0.864752038610291,0.946275927849091,0.967936141244854,0.917479282800525,0.953479870467734,0.373269117205057,0.567883139458302,0.416678811999915,0,0,0,0,0
